"date","blackratio","hispanicratio"
2020-01-01,0,0
2020-01-23,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-23,0,0
2020-02-27,4.45446110906883,0
2020-03-01,1.48482036968961,1.38070705324691
2020-03-02,1.11361527726721,2.07106057987036
2020-03-03,0.742410184844805,1.38070705324691
2020-03-04,0.636351587009833,1.77519478274602
2020-03-05,0.262027124062872,0.974616743468404
2020-03-06,0.43107688152279,0.534467246418157
2020-03-07,0.219071857823057,0.61113263012568
2020-03-08,0.26514649458743,0.641042560436063
2020-03-09,0.244750610388397,0.591731594248674
2020-03-10,0.404951009915348,0.677801644321208
2020-03-11,0.336185744080667,0.625225835432561
2020-03-12,0.43376774844865,0.589515371049241
2020-03-13,0.461224855979879,0.609467418599452
2020-03-14,0.600705336285216,0.661708152074762
2020-03-15,0.557749783538229,0.679840528756091
2020-03-16,0.610766317016654,0.657615111958835
2020-03-17,0.803549847126142,0.766698504861811
2020-03-18,1.2152854387262,1.10353361383375
2020-03-19,1.30306849871101,1.1357891008556
2020-03-20,1.33217528495516,1.12560876950539
2020-03-21,1.34794698648325,1.09820184097369
2020-03-22,1.31834137985393,1.06175384840831
2020-03-23,1.51002216690429,1.341595370362
2020-03-24,1.60230463509414,1.40759848702895
2020-03-25,1.6402902475105,1.45115007850505
2020-03-26,2.04602498214032,1.62752222365608
2020-03-27,2.18277860384798,1.65945664723182
2020-03-28,2.11323574674782,1.63030564635101
2020-03-29,2.05779732468837,1.62581114738942
2020-03-30,2.25078662517524,1.74598175728796
2020-03-31,2.32083238551537,1.7952472776063
2020-04-01,2.50199251985686,1.77813256267452
2020-04-02,2.5393966128092,1.77308597449852
2020-04-03,2.57175143225415,1.80407431191669
2020-04-04,2.55863573320131,1.81235987080243
2020-04-05,2.5189500936116,1.84024468644787
2020-04-06,2.64905547911708,1.98223882138858
2020-04-07,2.62295095122576,1.99258568168877
2020-04-08,2.6092518147362,1.99839965320362
2020-04-09,2.61811318554884,2.01241746399285
2020-04-10,2.63033657186882,2.0608082022761
2020-04-11,2.57817288928803,2.00482102595503
2020-04-12,2.56594723852465,2.00232261621714
2020-04-13,2.62641878137363,2.063305153613
2020-04-14,2.62188955022191,2.08314839657058
2020-04-15,2.6514733809638,2.07505495049603
2020-04-16,2.63319616140539,2.1187536165653
2020-04-17,2.64351213479112,2.12266676625642
2020-04-18,2.61197173896157,2.1257769665229
2020-04-19,2.60240690961128,2.1180805360452
2020-04-20,2.60298777183602,2.16431903940696
2020-04-21,2.60492092487679,2.21510235052316
2020-04-22,2.71638178878167,2.32842589874295
2020-04-23,2.70158483561895,2.32691409674523
2020-04-24,2.70081672855631,2.33604598156556
2020-04-25,2.69497479386502,2.34383666234911
2020-04-26,2.67890005659106,2.34315446003183
2020-04-27,2.68034420123008,2.37160785108332
2020-04-28,2.69974006779297,2.47634193297052
2020-04-29,2.68706510827797,2.49173512365361
2020-04-30,2.68504050216699,2.50183756390777
2020-05-01,2.66956013594688,2.49963246474923
2020-05-02,2.65819714860671,2.50881915495236
2020-05-03,2.64278105041592,2.49754873724563
2020-05-04,2.64496196465638,2.5211525941696
2020-05-05,2.65154406210058,2.62623158643887
2020-05-06,2.64673356621199,2.63058003919424
2020-05-07,2.64824242506108,2.64435239416679
2020-05-08,2.64267808254092,2.64433601246388
2020-05-09,2.63565086235739,2.66540268740496
2020-05-10,2.63060878279751,2.67118115607532
2020-05-11,2.63925511222756,2.68099550162105
2020-05-12,2.64137725128771,2.76721105101745
2020-05-13,2.64235754065746,2.79647886817902
2020-05-14,2.64275096222257,2.80499927591287
2020-05-15,2.63872750126021,2.80855366597722
2020-05-16,2.63120944098897,2.80660275058065
2020-05-17,2.62659543350197,2.80257971036173
2020-05-18,2.62618049306691,2.82134739167012
2020-05-19,2.62557248988523,2.82185948204706
2020-05-20,2.62146421072352,2.82169847443394
2020-05-21,2.61627659688562,2.83472613585135
2020-05-22,2.62268167713992,2.83792548271276
2020-05-23,2.62215049798954,2.87486000677864
2020-05-24,2.62983312234984,2.94001196721945
2020-05-25,2.63417241139418,2.94906489007584
2020-05-26,2.63721982657051,2.95210359078254
2020-05-27,2.64378364398783,2.96950671864248
2020-05-28,2.64271466882335,2.97253573898668
