values,id
-1.12,DeSoto County
-0.61,Dixie County
-7.3,Duval County
2.21,Escambia County
-1.86,Flagler County
-0.94,Franklin County
-0.7,Gadsden County
-2.48,Gilchrist County
-33.94,Glades County
1.13,Gulf County
2.02,Hamilton County
-9.53,Hardee County
-6.43,Hendry County
-5.55,Hernando County
-8.68,Highlands County
-5.4,Hillsborough County
-3.77,Holmes County
-6.42,Indian River County
-0.4,Jackson County
0.72,Jefferson County
-4.35,Lafayette County
-4.2,Lake County
-6.25,Lee County
-2.25,Leon County
-1.98,Levy County
-4.98,Liberty County
-0.18,Madison County
-5.85,Manatee County
1.29,Marion County
-3.77,Martin County
-16.23,Miami-Dade County
-3.3,Monroe County
-6.41,Nassau County
1.5,Okaloosa County
-8.31,Okeechobee County
-5.89,Orange County
-8.32,Osceola County
-11.36,Palm Beach County
-4.26,Pasco County
-4.48,Pinellas County
-0.89,Polk County
-3.18,Putnam County
6.52,Santa Rosa County
-8.42,Sarasota County
-2.84,Seminole County
-1.41,St. Johns County
-3.83,St. Lucie County
-7.16,Sumter County
0.5,Suwannee County
4.52,Taylor County
0.48,Union County
-0.63,Volusia County
4.17,Wakulla County
3.19,Walton County
1.67,Washington County
-3.34,Appling County
-3.58,Atkinson County
-1.49,Bacon County
3.21,Baldwin County
-7.52,Banks County
-4.01,Barrow County
4.68,Bartow County
0.67,Ben Hill County
7.2,Berrien County
2.9,Bibb County
0.01,Bleckley County
0.2,Brantley County
-3.85,Brooks County
-0.92,Bryan County
-4.06,Bulloch County
4.16,Burke County
0.03,Butts County
0.25,Camden County
-7.9,Candler County
0.42,Carroll County
-0.3,Catoosa County
-0.29,Charlton County
-3.96,Chatham County
-13.08,Chattahoochee County
-3,Chattooga County
7.32,Cherokee County
-6.57,Clarke County
-7.69,Clayton County
-12.17,Clinch County
-4.01,Cobb County
-3.88,Coffee County
-1.66,Colquitt County
-3.08,Columbia County
-4.41,Cook County
0.33,Coweta County
-2.3,Crawford County
-2.47,Crisp County
-3.99,Dade County
0.36,Dawson County
-2.3,Decatur County
-0.64,DeKalb County
-5.79,Dodge County
-15.83,Dooly County
-11.5,Dougherty County
-3.64,Douglas County
-4.82,Early County
-0.86,Effingham County
-2.56,Elbert County
4.38,Emanuel County
-1.18,Evans County
4.85,Fannin County
2.74,Fayette County
-5.95,Floyd County
2.02,Forsyth County
-0.94,Franklin County
-7.68,Fulton County
-6.08,Gilmer County
1.81,Glynn County
-0.9,Gordon County
-2.45,Grady County
1.24,Greene County
-1.47,Gwinnett County
-1.84,Habersham County
2.23,Hall County
-2.93,Hancock County
-2.17,Haralson County
-6.53,Harris County
0.48,Hart County
-1.39,Heard County
2.19,Henry County
-1.57,Houston County
-1.86,Irwin County
-0.4,Jackson County
5.53,Jasper County
-1.54,Jeff Davis County
0.72,Jefferson County
-3.88,Jenkins County
4.29,Johnson County
-2.42,Jones County
-1.96,Lamar County
-10.2,Lanier County
-1.13,Laurens County
-6.25,Lee County
-4.98,Liberty County
-0.85,Lincoln County
-13.06,Long County
1.04,Lowndes County
-2.69,Lumpkin County
0.24,Macon County
-0.18,Madison County
1.29,Marion County
0.73,McDuffie County
4.01,McIntosh County
1.02,Meriwether County
-4.14,Miller County
-20.97,Mitchell County
-3.3,Monroe County
0.14,Montgomery County
2.39,Morgan County
0.07,Murray County
-1.38,Muscogee County
-3.38,Newton County
-2.16,Oconee County
-9.61,Oglethorpe County
-6.92,Paulding County
-1.2,Peach County
-0.38,Pickens County
-1.55,Pierce County
-9.02,Pike County
-0.89,Polk County
-0.25,Pulaski County
-3.18,Putnam County
3.87,Rabun County
0.45,Randolph County
-5.3,Richmond County
-3.27,Rockdale County
1.16,Screven County
-2.84,Seminole County
-1.97,Spalding County
-0.05,Stephens County
-7.16,Sumter County
-7.13,Talbot County
-0.77,Tattnall County
4.52,Taylor County
-0.67,Telfair County
-7.26,Terrell County
2.05,Thomas County
-2.33,Tift County
-4.26,Toombs County
-3.68,Towns County
-7.05,Treutlen County
-0.12,Troup County
0.97,Turner County
-10.77,Twiggs County
